"report_name","year","scope","value","unit","unit_normalized","page","metric_name","display_type"
"Allianz_2022_report.pdf",2019,"1",42,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1","Graphic"
"Allianz_2022_report.pdf",2020,"1",28714,"t CO2e","t CO2e","78","Scope 1 – Direct GHG emissions","Table"
"Allianz_2022_report.pdf",2020,"1",29,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1","Graphic/Table"
"Allianz_2022_report.pdf",2021,"1",28699,"t CO2e","t CO2e","78","Scope 1 – Direct GHG emissions","Table"
"Allianz_2022_report.pdf",2021,"1",29,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1","Graphic"
"Allianz_2022_report.pdf",2022,"1",30953,"t CO2e","t CO2e","78","Scope 1 – Direct GHG emissions","Table"
"Allianz_2022_report.pdf",2022,"1",31,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1","Graphic"
"Allianz_2022_report.pdf",2020,"2lb",180826,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (location based)","Table"
"Allianz_2022_report.pdf",2021,"2lb",149599,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (location based)","Table"
"Allianz_2022_report.pdf",2022,"2lb",138339,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (location based)","Table"
"Allianz_2022_report.pdf",2019,"2mb",143,"ktCO₂eq","kt CO2e","92","Scope 2 – market based","Graphic"
"Allianz_2022_report.pdf",2020,"2mb",100722,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based)","Table"
"Allianz_2022_report.pdf",2020,"2mb",101,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 2 - market based","Graphic"
"Allianz_2022_report.pdf",2021,"2mb",54689,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based)","Table"
"Allianz_2022_report.pdf",2021,"2mb",55,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 2 - market based","Graphic"
