report                               , pages, elapsed_s, s_per_page, peak_vram_gb, peak_ram_gb, file_size_mb, embed_dim
autoneum holding_2019_report         ,    41,     17.5 ,      0.427,        15.91,        3.53,       324.54,      2560
granite construction inc_2020_report ,   119,     38.14,      0.321,        29.54,       10.16,       955.36,      2560
cabot corp_2018_report               ,    46,     11.91,      0.259,        16.61,        9.53,       357.05,      2560
toshiba tec corp_2022_report         ,    62,     15.11,      0.244,        19.5 ,       11.23,       490.77,      2560
bekaert (d) sa_2022_report           ,   330,     58.2 ,      0.176,        65.29,       24.38,      2612.15,      2560
americold realty inc_2022_report     ,    57,     23.68,      0.415,        18.65,       22.12,       451.19,      2560
jetblue airways corp_2019_report     ,    11,      8.68,      0.789,        10.76,       19.63,        85.83,      2560
polaris_2021_report                  ,    95,     31.02,      0.327,        25.14,       21.44,       751.98,      2560
Allianz_2022_report                  ,   164,     30.42,      0.186,        36.93,       22.22,      1298.16,      2560
sato oyj_2022_report                 ,    53,     15.52,      0.293,        18.18,       20.98,       429.3 ,      2560
morinaga ltd_2020_report             ,    62,     15.74,      0.254,        19.5 ,       20.18,       490.77,      2560
Daimler_2020_report                  ,   193,     46.22,      0.239,        41.88,       22.56,      1527.71,      2560
aixtron_2020_report                  ,    86,     19.96,      0.232,        23.6 ,       22.33,       680.74,      2560
jpmorgan chase_2020_report           ,    59,     12.47,      0.211,        18.79,       21.23,       457.96,      2560
metro ag_2022_report                 ,    51,     15.52,      0.304,        17.35,       20.09,       391.16,      2560
acuity brands inc_2022_report        ,   103,     33.34,      0.324,        26.16,       20.89,       799.49,      2560
h. lundbeck_2021_report              ,    42,     12.82,      0.305,        16.09,       20.53,       332.46,      2560
kilroy realty_2017_report            ,    69,     25.84,      0.375,        20.53,       21.08,       538.4 ,      2560
hammerson reit_2021_report           ,   182,     32.62,      0.179,        40.37,       22.55,      1457.41,      2560
uniper_2019_report.pdf               ,    80,     27.12,      0.339,        22.38,       21.55,       624.24,      2560
hudbay minerals inc_2020_report      ,   121,     27.65,      0.228,        29.28,       21.77,       944.16,      2560
blackline safety_2021_report         ,    72,     19.34,      0.269,        20.73,       20.93,       547.81,      2560
inchcape plc_2022_report             ,   232,     38.46,      0.166,        48.54,       23.38,      1836.42,      2560
webuild_2019_report                  ,    90,     15.98,      0.178,        24.29,       22.31,       712.4 ,      2560
kilroy realty_2018_report            ,    71,     20.62,      0.29 ,        20.86,       21.56,       554.01,      2560
lundin gold inc_2021_report          ,    82,     30.11,      0.367,        22.92,       20.92,       649.08,      2560
cardinal energy ltd_2021_report      ,    22,      9.96,      0.453,        12.59,       20.85,       170.77,      2560
kureha corp_2020_report              ,    10,      7.02,      0.702,        10.62,       20.28,        79.16,      2560
dampskibsselskabet norden_2019_report,   140,     29.71,      0.212,        32.83,       21.91,      1108.18,      2560
stantec inc_2019_report              ,    90,     47.08,      0.523,        23.95,       23.69,       698.58,      2560
ViacomCBS_ESG Report_2020-2021_vFINAL,    75,     39.56,      0.528,        21.4 ,       22.87,       579.08,      2560
evolution mining ltd_2020_report     ,    49,     13.83,      0.282,        17.28,       21.21,       387.87,      2560
Fresenius SE_2019_report             ,   277,     44.28,      0.16 ,        56.23,       24.78,      2192.62,      2560
nippn corp_2022_report               ,    24,     10.46,      0.436,        13.01,       22.79,       189.98,      2560
atlas arteria_2019_report            ,    13,      6.71,      0.516,        11.13,       20.53,       102.9 ,      2560
cytokinetics inc_2022_report         ,    29,     10.92,      0.377,        13.77,       20.57,       225.1 ,      2560
nordea_2017_report                   ,    48,     13.89,      0.289,        17.11,       20.84,       379.95,      2560
sumitomo corporation_2021_report     ,   147,     25.01,      0.17 ,        34.32,       22.22,      1177.14,      2560
fujifilm_2022_report                 ,   142,     23.61,      0.166,        33.17,       23.41,      1124.02,      2560
addtech_2022_report                  ,    74,     28.19,      0.381,        21.55,       22.86,       585.75,      2560
huhtamaki_2019_report                ,    60,     18.77,      0.313,        19.4 ,       21.53,       486.0 ,      2560
healius ltd_2022_report              ,    70,     19.16,      0.274,        20.87,       21.41,       554.09,      2560
kfw_2018_report                      ,   122,     20.39,      0.167,        29.75,       22.33,       965.7 ,      2560
salzgitter ag_2018_report            ,    36,      9.22,      0.256,        15.06,       21.5 ,       284.96,      2560
allfunds group_2021_report           ,   163,     33.6 ,      0.206,        36.76,       22.73,      1290.24,      2560
lundin gold inc_2022_report          ,    64,     22.35,      0.349,        19.84,       22.09,       506.6 ,      2560
varta ag_2021_report                 ,    44,     13.95,      0.317,        16.43,       21.1 ,       348.29,      2560
georg fischer ag_2018_report         ,    20,      7.94,      0.397,        12.33,       20.75,       158.31,      2560
graincorp_2019_report                ,    17,     15.15,      0.891,        11.81,       20.54,       134.57,      2560
innospec inc_2020_report             ,    49,     29.78,      0.608,        17.16,       21.18,       382.35,      2560
hang lung properties_2018_report     ,    68,     17.12,      0.252,        20.53,       21.25,       538.26,      2560
comerica inc_2019_report             ,    65,     13.86,      0.213,        20.14,       21.38,       520.5 ,      2560
huhtamaki_2018_report                ,    58,     16.76,      0.289,        18.82,       21.3 ,       459.11,      2560
