report,pages,elapsed_s,s_per_page,peak_vram_gb,peak_ram_gb,file_size_mb,embed_dim
autoneum holding_2019_report,41,17.72,0.432,25.61,3.71,519.26,4096
granite construction inc_2020_report,119,39.43,0.331,41.24,10.96,1528.57,4096
cabot corp_2018_report,46,12.34,0.268,26.41,10.29,571.28,4096
toshiba tec corp_2022_report,62,15.95,0.257,29.73,11.71,785.23,4096
bekaert (d) sa_2022_report,330,63.51,0.192,82.28,26.21,4179.42,4096
americold realty inc_2022_report,57,24.57,0.431,28.75,23.94,721.9,4096
jetblue airways corp_2019_report,11,8.34,0.759,19.69,20.03,137.33,4096
polaris_2021_report,95,32.49,0.342,36.2,21.94,1203.17,4096
Allianz_2022_report,164,32.69,0.199,49.73,23.45,2077.05,4096
sato oyj_2022_report,53,16.19,0.306,28.21,22.0,686.87,4096
morinaga ltd_2020_report,62,16.43,0.265,29.73,20.72,785.23,4096
Daimler_2020_report,193,49.39,0.256,55.41,23.78,2444.33,4096
aixtron_2020_report,86,20.87,0.243,34.43,23.66,1089.18,4096
jpmorgan chase_2020_report,59,13.31,0.226,28.91,21.92,732.73,4096
metro ag_2022_report,51,15.72,0.308,27.25,20.6,625.86,4096
acuity brands inc_2022_report,103,34.63,0.336,37.37,21.58,1279.17,4096
h. lundbeck_2021_report,42,13.41,0.319,25.8,21.22,531.93,4096
kilroy realty_2017_report,69,26.69,0.387,30.9,21.56,861.44,4096
hammerson reit_2021_report,182,35.22,0.194,53.68,23.81,2331.85,4096
uniper_2019_report.pdf,80,28.15,0.352,33.03,22.79,998.78,4096
hudbay minerals inc_2020_report,121,28.9,0.239,40.95,22.72,1510.65,4096
blackline safety_2021_report,72,20.05,0.278,31.13,21.84,876.48,4096
inchcape plc_2022_report,232,41.45,0.179,63.06,24.79,2938.26,4096
webuild_2019_report,90,17.09,0.19,35.22,23.82,1139.84,4096
kilroy realty_2018_report,71,21.76,0.307,31.29,22.34,886.41,4096
lundin gold inc_2021_report,82,31.81,0.388,33.65,21.64,1038.52,4096
cardinal energy ltd_2021_report,22,10.08,0.458,21.8,21.35,273.22,4096
kureha corp_2020_report,10,7.19,0.719,19.53,20.44,126.65,4096
dampskibsselskabet norden_2019_report,140,31.71,0.226,45.02,22.65,1773.09,4096
stantec inc_2019_report,90,48.26,0.536,34.83,24.9,1117.72,4096
ViacomCBS_ESG Report_2020-2021_vFINAL,75,40.16,0.535,31.91,23.63,926.52,4096
evolution mining ltd_2020_report,49,14.47,0.295,27.18,21.79,620.58,4096
Fresenius SE_2019_report,277,48.44,0.175,71.88,26.34,3508.18,4096
nippn corp_2022_report,24,10.78,0.449,22.28,24.21,303.96,4096
atlas arteria_2019_report,13,6.69,0.515,20.12,20.72,164.65,4096
cytokinetics inc_2022_report,29,11.2,0.386,23.14,20.77,360.16,4096
nordea_2017_report,48,14.47,0.301,26.98,21.28,607.92,4096
sumitomo corporation_2021_report,147,26.92,0.183,46.73,23.11,1883.42,4096
fujifilm_2022_report,142,26.04,0.183,45.41,24.74,1798.42,4096
addtech_2022_report,74,29.0,0.392,32.08,23.81,937.2,4096
huhtamaki_2019_report,60,19.58,0.326,29.61,22.13,777.59,4096
healius ltd_2022_report,70,20.17,0.288,31.29,22.0,886.54,4096
kfw_2018_report,122,21.8,0.179,41.49,23.23,1545.12,4096
salzgitter ag_2018_report,36,9.61,0.267,24.63,22.25,455.94,4096
allfunds group_2021_report,163,35.86,0.22,49.53,23.66,2064.38,4096
lundin gold inc_2022_report,64,22.94,0.358,30.12,23.15,810.55,4096
varta ag_2021_report,44,14.37,0.327,26.2,21.65,557.26,4096
georg fischer ag_2018_report,20,8.45,0.422,21.49,21.1,253.3,4096
graincorp_2019_report,17,15.38,0.905,20.9,20.75,215.3,4096
innospec inc_2020_report,49,30.39,0.62,27.04,21.46,611.75,4096
hang lung properties_2018_report,68,18.22,0.268,30.9,21.78,861.21,4096
comerica inc_2019_report,65,14.77,0.227,30.45,22.0,832.8,4096
huhtamaki_2018_report,58,17.48,0.301,28.94,21.88,734.57,4096
