report_stem,page,page_int,phase,top_k_pages,top_10,top_10_scores,hit_topk,hit_expanded
Allianz_2022_report,92,92,BECK_QUERY,"[78, 92, 93]","[78, 92, 93, 48, 81, 91, 23, 79, 80, 49]","[25.067840576171875, 24.87061309814453, 24.80068016052246, 24.71457290649414, 24.56378936767578, 24.44546127319336, 24.38263702392578, 24.379247665405273, 24.36827850341797, 24.34886932373047]",True,True
Allianz_2022_report,78,78,BECK_QUERY,"[78, 92, 93]","[78, 92, 93, 48, 81, 91, 23, 79, 80, 49]","[25.067840576171875, 24.87061309814453, 24.80068016052246, 24.71457290649414, 24.56378936767578, 24.44546127319336, 24.38263702392578, 24.379247665405273, 24.36827850341797, 24.34886932373047]",True,True
Daimler_2020_report,63,63,BECK_QUERY,"[62, 49, 180]","[62, 49, 180, 58, 182, 178, 66, 181, 51, 67]","[25.424419403076172, 25.05900764465332, 25.023176193237305, 24.94470977783203, 24.7146053314209, 24.6055908203125, 24.539159774780273, 24.479501724243164, 24.383073806762695, 24.275405883789062]",True,True
Fresenius SE_2019_report,126,126,BECK_QUERY,"[125, 3, 66]","[125, 3, 66, 195, 219, 162, 166, 124, 160, 197]","[24.96893310546875, 23.901704788208008, 23.868797302246094, 23.85233497619629, 23.840173721313477, 23.840126037597656, 23.83216094970703, 23.81983184814453, 23.800174713134766, 23.79507827758789]",True,True
acuity brands inc_2022_report,101,101,BECK_QUERY,"[98, 100, 101]","[98, 100, 101, 27, 7, 48, 99, 23, 36, 24]","[25.195526123046875, 25.04228973388672, 24.835296630859375, 24.668899536132812, 24.405479431152344, 24.40420150756836, 24.34334945678711, 24.301555633544922, 24.23238182067871, 24.208541870117188]",True,True
acuity brands inc_2022_report,99,99,BECK_QUERY,"[98, 100, 101]","[98, 100, 101, 27, 7, 48, 99, 23, 36, 24]","[25.195526123046875, 25.04228973388672, 24.835296630859375, 24.668899536132812, 24.405479431152344, 24.40420150756836, 24.34334945678711, 24.301555633544922, 24.23238182067871, 24.208541870117188]",True,True
addtech_2022_report,73,73,BECK_QUERY,"[72, 20, 73]","[72, 20, 73, 68, 70, 3, 67, 69, 46, 65]","[25.10070037841797, 24.81635093688965, 24.432384490966797, 24.325855255126953, 24.257949829101562, 24.172744750976562, 24.162654876708984, 23.96392059326172, 23.958953857421875, 23.82495880126953]",True,True
aixtron_2020_report,50,50,BECK_QUERY,"[50, 49, 42]","[50, 49, 42, 41, 46, 47, 43, 45, 80, 18]","[25.702716827392578, 25.259201049804688, 24.994590759277344, 24.759597778320312, 24.691118240356445, 24.67757225036621, 24.632946014404297, 24.460052490234375, 24.411527633666992, 24.382841110229492]",True,True
aixtron_2020_report,49,49,BECK_QUERY,"[50, 49, 42]","[50, 49, 42, 41, 46, 47, 43, 45, 80, 18]","[25.702716827392578, 25.259201049804688, 24.994590759277344, 24.759597778320312, 24.691118240356445, 24.67757225036621, 24.632946014404297, 24.460052490234375, 24.411527633666992, 24.382841110229492]",True,True
allfunds group_2021_report,142,142,BECK_QUERY,"[141, 124, 125]","[141, 124, 125, 150, 126, 32, 142, 140, 129, 158]","[25.258886337280273, 25.144180297851562, 24.916973114013672, 24.341827392578125, 24.31096076965332, 24.294681549072266, 23.899425506591797, 23.7788143157959, 23.743282318115234, 23.739221572875977]",True,True
allfunds group_2021_report,125,125,BECK_QUERY,"[141, 124, 125]","[141, 124, 125, 150, 126, 32, 142, 140, 129, 158]","[25.258886337280273, 25.144180297851562, 24.916973114013672, 24.341827392578125, 24.31096076965332, 24.294681549072266, 23.899425506591797, 23.7788143157959, 23.743282318115234, 23.739221572875977]",True,True
americold realty inc_2022_report,53,53,BECK_QUERY,"[52, 49, 29]","[52, 49, 29, 31, 7, 50, 34, 51, 25, 11]","[25.21544075012207, 24.446443557739258, 24.17205810546875, 24.036346435546875, 24.02921485900879, 23.96480941772461, 23.88479232788086, 23.8450984954834, 23.84142303466797, 23.738880157470703]",True,True
atlas arteria_2019_report,9,9,BECK_QUERY,"[9, 0, 3]","[9, 0, 3, 6, 4, 8, 11, 2, 7, 1]","[25.009078979492188, 23.556312561035156, 23.541597366333008, 23.512298583984375, 23.465408325195312, 23.451126098632812, 23.43828582763672, 23.43770980834961, 23.3944034576416, 23.362545013427734]",True,True
autoneum holding_2019_report,27,27,BECK_QUERY,"[26, 25, 36]","[26, 25, 36, 23, 24, 12, 35, 34, 0, 31]","[25.331388473510742, 25.233203887939453, 24.334449768066406, 24.106904983520508, 23.696208953857422, 23.590980529785156, 23.545255661010742, 23.497140884399414, 23.490665435791016, 23.488914489746094]",True,True
bekaert (d) sa_2022_report,272,272,BECK_QUERY,"[270, 275, 271]","[270, 275, 271, 277, 267, 274, 273, 272, 276, 266]","[25.54625701904297, 25.3539981842041, 25.08623504638672, 25.08271026611328, 24.99135971069336, 24.964580535888672, 24.942283630371094, 24.888511657714844, 24.848297119140625, 24.78058624267578]",True,True
bekaert (d) sa_2022_report,276,276,BECK_QUERY,"[270, 275, 271]","[270, 275, 271, 277, 267, 274, 273, 272, 276, 266]","[25.54625701904297, 25.3539981842041, 25.08623504638672, 25.08271026611328, 24.99135971069336, 24.964580535888672, 24.942283630371094, 24.888511657714844, 24.848297119140625, 24.78058624267578]",True,True
blackline safety_2021_report,19,19,BECK_QUERY,"[20, 19, 4]","[20, 19, 4, 57, 24, 62, 56, 55, 23, 2]","[25.54867172241211, 24.566598892211914, 24.28337860107422, 24.264421463012695, 23.99763298034668, 23.975801467895508, 23.883941650390625, 23.829532623291016, 23.82598876953125, 23.80036163330078]",True,True
cabot corp_2018_report,22,22,BECK_QUERY,"[21, 40, 36]","[21, 40, 36, 22, 18, 17, 23, 20, 1, 24]","[25.03094482421875, 24.49534034729004, 23.979949951171875, 23.9384765625, 23.870132446289062, 23.83669090270996, 23.787092208862305, 23.775068283081055, 23.774925231933594, 23.72100257873535]",True,True
cardinal energy ltd_2021_report,19,19,BECK_QUERY,"[7, 18, 19]","[7, 18, 19, 8, 2, 20, 12, 1, 4, 6]","[24.477985382080078, 24.442325592041016, 24.074954986572266, 24.054195404052734, 23.907573699951172, 23.872211456298828, 23.782896041870117, 23.781299591064453, 23.670442581176758, 23.662376403808594]",True,True
jpmorgan chase_2020_report,32,32,BECK_QUERY,"[31, 28, 49]","[31, 28, 49, 27, 57, 50, 55, 16, 29, 0]","[25.193124771118164, 24.857542037963867, 24.794424057006836, 24.603660583496094, 23.889083862304688, 23.768238067626953, 23.711135864257812, 23.69640350341797, 23.68633270263672, 23.682538986206055]",True,True
jpmorgan chase_2020_report,29,29,BECK_QUERY,"[31, 28, 49]","[31, 28, 49, 27, 57, 50, 55, 16, 29, 0]","[25.193124771118164, 24.857542037963867, 24.794424057006836, 24.603660583496094, 23.889083862304688, 23.768238067626953, 23.711135864257812, 23.69640350341797, 23.68633270263672, 23.682538986206055]",True,True
comerica inc_2019_report,44,44,BECK_QUERY,"[43, 44, 58]","[43, 44, 58, 26, 34, 45, 42, 46, 47, 37]","[25.27630043029785, 24.865137100219727, 24.25576400756836, 24.251888275146484, 23.920461654663086, 23.900680541992188, 23.872526168823242, 23.829750061035156, 23.79983901977539, 23.75632667541504]",True,True
