model,report_name,page,phase,top_k_pages,hit_topk,hit_expanded,top_10,top_10_scores
nvidia/nemotron-colembed-vl-8b-v2,acuity brands inc_2022_report,101,8B,"[98, 100, 27]",True,True,"[98, 100, 27, 101, 99, 48, 24, 7, 36, 23]","[37.334354400634766, 37.31352615356445, 37.06523895263672, 37.03605651855469, 36.79917907714844, 36.782569885253906, 36.69843292236328, 36.596885681152344, 36.550621032714844, 36.52249526977539]"
nvidia/nemotron-colembed-vl-8b-v2,acuity brands inc_2022_report,99,8B,"[98, 100, 27]",True,True,"[98, 100, 27, 101, 99, 48, 24, 7, 36, 23]","[37.334354400634766, 37.31352615356445, 37.06523895263672, 37.03605651855469, 36.79917907714844, 36.782569885253906, 36.69843292236328, 36.596885681152344, 36.550621032714844, 36.52249526977539]"
nvidia/nemotron-colembed-vl-8b-v2,addtech_2022_report,73,8B,"[72, 20, 68]",True,True,"[72, 20, 68, 73, 70, 69, 67, 3, 23, 63]","[37.46709060668945, 37.110076904296875, 36.78662872314453, 36.722938537597656, 36.69120788574219, 36.43868637084961, 36.40350341796875, 36.365966796875, 36.06334686279297, 36.05677032470703]"
nvidia/nemotron-colembed-vl-8b-v2,aixtron_2020_report,50,8B,"[50, 49, 42]",True,True,"[50, 49, 42, 47, 43, 41, 46, 80, 45, 1]","[37.77745819091797, 37.5991096496582, 37.12690734863281, 37.05451965332031, 37.0035514831543, 36.89997863769531, 36.88876724243164, 36.839202880859375, 36.788360595703125, 36.52062225341797]"
nvidia/nemotron-colembed-vl-8b-v2,aixtron_2020_report,49,8B,"[50, 49, 42]",True,True,"[50, 49, 42, 47, 43, 41, 46, 80, 45, 1]","[37.77745819091797, 37.5991096496582, 37.12690734863281, 37.05451965332031, 37.0035514831543, 36.89997863769531, 36.88876724243164, 36.839202880859375, 36.788360595703125, 36.52062225341797]"
nvidia/nemotron-colembed-vl-8b-v2,allfunds group_2021_report,142,8B,"[141, 125, 124]",True,True,"[141, 125, 124, 150, 126, 32, 143, 142, 140, 129]","[37.553077697753906, 37.37648010253906, 37.374412536621094, 36.86817169189453, 36.80347442626953, 36.575469970703125, 36.1135139465332, 36.086830139160156, 36.077186584472656, 36.05094528198242]"
nvidia/nemotron-colembed-vl-8b-v2,allfunds group_2021_report,125,8B,"[141, 125, 124]",True,True,"[141, 125, 124, 150, 126, 32, 143, 142, 140, 129]","[37.553077697753906, 37.37648010253906, 37.374412536621094, 36.86817169189453, 36.80347442626953, 36.575469970703125, 36.1135139465332, 36.086830139160156, 36.077186584472656, 36.05094528198242]"
nvidia/nemotron-colembed-vl-8b-v2,Allianz_2022_report,92,8B,"[78, 92, 93]",True,True,"[78, 92, 93, 48, 81, 23, 8, 91, 79, 80]","[37.362640380859375, 37.256385803222656, 37.04634475708008, 36.987022399902344, 36.92384338378906, 36.79132843017578, 36.767333984375, 36.6580924987793, 36.594322204589844, 36.5203742980957]"
nvidia/nemotron-colembed-vl-8b-v2,Allianz_2022_report,78,8B,"[78, 92, 93]",True,True,"[78, 92, 93, 48, 81, 23, 8, 91, 79, 80]","[37.362640380859375, 37.256385803222656, 37.04634475708008, 36.987022399902344, 36.92384338378906, 36.79132843017578, 36.767333984375, 36.6580924987793, 36.594322204589844, 36.5203742980957]"
nvidia/nemotron-colembed-vl-8b-v2,americold realty inc_2022_report,53,8B,"[52, 49, 29]",True,True,"[52, 49, 29, 31, 7, 51, 50, 34, 9, 0]","[37.473934173583984, 36.73486328125, 36.61698532104492, 36.52574157714844, 36.31775665283203, 36.265960693359375, 36.20555114746094, 36.186763763427734, 36.05365753173828, 35.966064453125]"
