report_name,scope,year,value_ba,value_pa,rel_diff,match,source,value_gs,match_gs_ba,match_gs_pa,match_gs_ba_pa
Allianz_2022_report,1,2020,28714.0,28714.0,0.0,True,both,28714.0,True,True,True
Allianz_2022_report,1,2020,28714.0,28714.0,0.0,True,both,29.0,False,False,False
Allianz_2022_report,1,2021,28699.0,28699.0,0.0,True,both,28699.0,True,True,True
Allianz_2022_report,1,2021,28699.0,28699.0,0.0,True,both,29.0,False,False,False
Allianz_2022_report,1,2022,30953.0,30953.0,0.0,True,both,30953.0,True,True,True
Allianz_2022_report,1,2022,30953.0,30953.0,0.0,True,both,31.0,False,False,False
Allianz_2022_report,2lb,2020,180826.0,180826.0,0.0,True,both,180826.0,True,True,True
Allianz_2022_report,2lb,2021,149599.0,149599.0,0.0,True,both,149599.0,True,True,True
Allianz_2022_report,2lb,2022,138339.0,138339.0,0.0,True,both,138339.0,True,True,True
Allianz_2022_report,2mb,2020,100722.0,100722.0,0.0,True,both,100722.0,True,True,True
Allianz_2022_report,2mb,2020,100722.0,100722.0,0.0,True,both,101.0,False,False,False
Allianz_2022_report,2mb,2021,54689.0,54689.0,0.0,True,both,54689.0,True,True,True
Allianz_2022_report,2mb,2021,54689.0,54689.0,0.0,True,both,55.0,False,False,False
Allianz_2022_report,2mb,2022,30490.0,30490.0,0.0,True,both,30490.0,True,True,True
Allianz_2022_report,2mb,2022,30490.0,30490.0,0.0,True,both,30.0,False,False,False
Allianz_2022_report,3,2020,73916.0,73916.0,0.0,True,both,73916.0,True,True,True
Allianz_2022_report,3,2020,73916.0,73916.0,0.0,True,both,74.0,False,False,False
Allianz_2022_report,3,2021,55359.0,55359.0,0.0,True,both,55359.0,True,True,True
Allianz_2022_report,3,2021,55359.0,55359.0,0.0,True,both,55.0,False,False,False
Allianz_2022_report,3,2022,92467.0,92467.0,0.0,True,both,92467.0,True,True,True
Allianz_2022_report,3,2022,92467.0,92467.0,0.0,True,both,92.0,False,False,False
Daimler_2020_report,1,2016,1056.0,1056.0,0.0,True,both,1056.0,True,True,True
Daimler_2020_report,1,2017,1192.0,1192.0,0.0,True,both,1192.0,True,True,True
Daimler_2020_report,1,2018,1247.0,1247.0,0.0,True,both,1247.0,True,True,True
Daimler_2020_report,1,2019,1239.0,1239.0,0.0,True,both,1239.0,True,True,True
