report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2022,30953,t CO2e,Direct GHG emissions
Allianz_2022_report,scope_1,2021,28699,t CO2e,Direct GHG emissions
Allianz_2022_report,scope_1,2020,28714,t CO2e,Direct GHG emissions
Allianz_2022_report,scope_2_market_based,2022,30490,t CO2e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2021,54689,t CO2e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2020,100722,t CO2e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_location_based,2022,138339,t CO2e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2021,149599,t CO2e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2020,180826,t CO2e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_3,2022,92467,t CO2e,Other indirect GHG emissions
Allianz_2022_report,scope_3,2021,55359,t CO2e,Other indirect GHG emissions
Allianz_2022_report,scope_3,2020,73916,t CO2e,Other indirect GHG emissions
addtech_2022_report,scope_1,2021/2022,2041,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_1,2020/2021,1910,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_1,2019/2020,2071,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_2_market_based,2021/2022,4087,tonnes CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_market_based,2020/2021,4250,tonnes CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2021/2022,3709,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2020/2021,3395,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2019/2020,3979,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,22961,tonnes CO2e,SCOPE 3 (tonnes CO2e)
addtech_2022_report,scope_3,2020/2021,19860,tonnes CO2e,SCOPE 3 (tonnes CO2e)
addtech_2022_report,scope_3,2019/2020,23132,tonnes CO2e,SCOPE 3 (tonnes CO2e)
fujifilm_2022_report,scope_1,FY2017,687,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_1,FY2017,644,kt CO2e,Fujifilm
fujifilm_2022_report,scope_1,FY2017,43,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_1,FY2018,672,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_1,FY2018,629,kt CO2e,Fujifilm
fujifilm_2022_report,scope_1,FY2018,43,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_1,FY2019,633,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_1,FY2019,594,kt CO2e,Fujifilm
fujifilm_2022_report,scope_1,FY2019,40,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_1,FY2020,603,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_1,FY2020,567,kt CO2e,Fujifilm
fujifilm_2022_report,scope_1,FY2020,36,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_1,FY2021,633,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_1,FY2021,599,kt CO2e,Fujifilm
fujifilm_2022_report,scope_1,FY2021,34,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_2_market_based,FY2017,531,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_2_market_based,FY2017,379,kt CO2e,Fujifilm
fujifilm_2022_report,scope_2_market_based,FY2017,152,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_2_market_based,FY2018,510,kt CO2e,Fujifilm Group Total
fujifilm_2022_report,scope_2_market_based,FY2018,366,kt CO2e,Fujifilm
fujifilm_2022_report,scope_2_market_based,FY2018,143,kt CO2e,FUJIFILM Business Innovation
fujifilm_2022_report,scope_2_market_based,FY2019,451,kt CO2e,Fujifilm Group Total
