report_name,status,scopes_present,years_present,year,scope,page,value,unit,unit_normalized,label,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,unit_0,unit_1,unit_2,unit_3,unit_4,unit_5,unit_6,unit_7,unit_8,unit_9,unit_10,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,1,101,34327.0,MtCO2e,Mt CO2e,FY 2022 Scope 1 Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,1,99,34327.0,MT CO2e,MT CO2e,Total Scope 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2lb,101,46637.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Location based),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2mb,101,42234.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Market based),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2mb,99,42234.0,MT CO2e,MT CO2e,Total Scope 2 market-based/Total Scope 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,3,99,35119419.0,MT CO2e,MT CO2e,Total Scope 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,1,73,2071.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,1,73,1910.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,[2071],[2071],[2071],[2071],[2071.0],[2071.0],[2071],[2071],[2071],[2071.0],[2071],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['Emissions from own vehicle fleet'],['Emissions from own vehicle fleet'],['Total emissions (tonnes CO₂e)'],['Emissions from own vehicle fleet'],[nan],[nan],['Emissions from own vehicle fleet'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO₂e)']
