report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2020,28714.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2021,28699.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2022,30953.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_2_location_based,2020,180826.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2021,149599.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2022,138339.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_market_based,2020,100722.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2021,54689.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2022,30490.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_3,2020,73916.0,t CO2e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2021,55359.0,t CO2e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2022,92467.0,t CO2e,Scope 3 – Other indirect GHG emissions
Fresenius SE_2019_report,scope_1,2019,517.0,t CO2 equivalents in thousands,total
Fresenius SE_2019_report,scope_1,2018,521.0,t CO2 equivalents in thousands,total
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2014,8297.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2015,9045.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2016,24672.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2017,26834.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2018,31737.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2019,38240.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2020,32097.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2014,39252.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2015,50828.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2016,216737.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2017,219851.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2018,229073.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2019,144268.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2020,139608.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2014,37114.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2015,50828.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2016,213701.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2017,219375.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2018,219385.0,metric tons CO₂e,Scope 2 (market-based)
