report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2022,30953.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2021,28699.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2020,28714.0,t CO2e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_2_market_based,2022,30490.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2021,54689.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2020,100722.0,t CO2e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_location_based,2022,138339.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2021,149599.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2020,180826.0,t CO2e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_3,2022,92467.0,t CO2e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2021,55359.0,t CO2e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2020,73916.0,t CO2e,Scope 3 – Other indirect GHG emissions
Daimler_2020_report,scope_1,2016,1056.0,"1,000 t CO2",CO2 direct (Scope 1) from energy consumption
Daimler_2020_report,scope_1,2017,1192.0,"1,000 t CO2",CO2 direct (Scope 1) from energy consumption
Daimler_2020_report,scope_1,2018,1247.0,"1,000 t CO2",CO2 direct (Scope 1) from energy consumption
Daimler_2020_report,scope_1,2019,1239.0,"1,000 t CO2",CO2 direct (Scope 1) from energy consumption
Daimler_2020_report,scope_1,2020,1027.0,"1,000 t CO2",CO2 direct (Scope 1) from energy consumption
Daimler_2020_report,scope_2_market_based,2016,1882.0,"1,000 t CO2",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,1763.0,"1,000 t CO2",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,1687.0,"1,000 t CO2",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,1276.0,"1,000 t CO2",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,1035.0,"1,000 t CO2",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_location_based,2016,2141.0,"1,000 t CO2",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2017,2041.0,"1,000 t CO2",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2018,1985.0,"1,000 t CO2",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2019,1706.0,"1,000 t CO2",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2020,1492.0,"1,000 t CO2",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_3,2020,8.1,tons CO2 per vehicle,Scope 3 Production: Procured goods and services (Mercedes-Benz Cars)
Daimler_2020_report,scope_3,2020,1.0,tons CO2 per vehicle,Scope 3 Logistics: Transport and distribution (upstream and downstream) - forecast value (Mercedes-Benz Cars)
Daimler_2020_report,scope_3,2020,5.6,tons CO2 per vehicle,Scope 3 Use phase: Fuel and electricity production (well-to-tank) (Mercedes-Benz Cars)
Daimler_2020_report,scope_3,2020,33.7,tons CO2 per vehicle,Scope 3 Use phase: Vehicle operation (tank-to-wheel) (Mercedes-Benz Cars)
Daimler_2020_report,scope_3,2020,0.4,tons CO2 per vehicle,Scope 3 End of Life: Recycling and waste disposal (Mercedes-Benz Cars)
Fresenius SE_2019_report,scope_1,2019,517.0,thousand t CO2 equivalents,Fresenius Group Scope 1 total
Fresenius SE_2019_report,scope_1,2018,521.0,thousand t CO2 equivalents,Fresenius Group Scope 1 total
