report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2019,42,ktCO₂eq,Scope 1 from Figure 2b
Allianz_2022_report,scope_1,2020,29,ktCO₂eq,Scope 1 from Figure 2b
Allianz_2022_report,scope_1,2020,28714,t CO₂e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2021,29,ktCO₂eq,Scope 1 from Figure 2b
Allianz_2022_report,scope_1,2021,28699,t CO₂e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_1,2022,31,ktCO₂eq,Scope 1 from Figure 2b
Allianz_2022_report,scope_1,2022,30953,t CO₂e,Scope 1 – Direct GHG emissions
Allianz_2022_report,scope_2_market_based,2019,143,ktCO₂eq,Scope 2 market based from Figure 2b
Allianz_2022_report,scope_2_market_based,2020,101,ktCO₂eq,Scope 2 market based from Figure 2b
Allianz_2022_report,scope_2_market_based,2020,100722,t CO₂e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2021,55,ktCO₂eq,Scope 2 market based from Figure 2b
Allianz_2022_report,scope_2_market_based,2021,54689,t CO₂e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2022,30,ktCO₂eq,Scope 2 market based from Figure 2b
Allianz_2022_report,scope_2_market_based,2022,30490,t CO₂e,Scope 2 – Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_location_based,2020,180826,t CO₂e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2021,149599,t CO₂e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2022,138339,t CO₂e,Scope 2 – Indirect GHG emissions (location based)
Allianz_2022_report,scope_3,2019,149,ktCO₂eq,Scope 3 from Figure 2b
Allianz_2022_report,scope_3,2020,74,ktCO₂eq,Scope 3 from Figure 2b
Allianz_2022_report,scope_3,2020,73916,t CO₂e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2020,56316,t CO₂e,Total GHG emissions from business travel
Allianz_2022_report,scope_3,2021,55,ktCO₂eq,Scope 3 from Figure 2b
Allianz_2022_report,scope_3,2021,55359,t CO₂e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2021,39570,t CO₂e,Total GHG emissions from business travel
Allianz_2022_report,scope_3,2022,92,ktCO₂eq,Scope 3 from Figure 2b
Allianz_2022_report,scope_3,2022,92467,t CO₂e,Scope 3 – Other indirect GHG emissions
Allianz_2022_report,scope_3,2022,74339,t CO₂e,Total GHG emissions from business travel
Daimler_2020_report,scope_1,2016,1056,"1,000 t",CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2016,245,kg/vehicle,Cars – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2016,746,kg/vehicle,Trucks*** – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2016,372,kg/vehicle,Vans – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2016,1408,kg/vehicle,Buses – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2017,1192,"1,000 t",CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2017,250,kg/vehicle,Cars – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2017,663,kg/vehicle,Trucks*** – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2017,340,kg/vehicle,Vans – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2017,1177,kg/vehicle,Buses – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2018,1247,"1,000 t",CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2018,267,kg/vehicle,Cars – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2018,629,kg/vehicle,Trucks*** – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2018,355,kg/vehicle,Vans – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2018,977,kg/vehicle,Buses – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2019,1239,"1,000 t",CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2019,279,kg/vehicle,Cars – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2019,676,kg/vehicle,Trucks*** – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2019,346,kg/vehicle,Vans – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2019,1083,kg/vehicle,Buses – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2020,1027,"1,000 t",CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2020,326,kg/vehicle,Cars – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2020,742,kg/vehicle,Trucks*** – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2020,333,kg/vehicle,Vans – CO2 direct (Scope 1)
Daimler_2020_report,scope_1,2020,1471,kg/vehicle,Buses – CO2 direct (Scope 1)
Daimler_2020_report,scope_2_market_based,2016,1882,"1,000 t",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2016,611,kg/vehicle,Cars – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2016,1286,kg/vehicle,Trucks*** – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2016,201,kg/vehicle,Vans – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2016,1421,kg/vehicle,Buses – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2017,1763,"1,000 t",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,565,kg/vehicle,Cars – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2017,1084,kg/vehicle,Trucks*** – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2017,157,kg/vehicle,Vans – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2017,1059,kg/vehicle,Buses – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2018,1687,"1,000 t",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,562,kg/vehicle,Cars – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2018,933,kg/vehicle,Trucks*** – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2018,196,kg/vehicle,Vans – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2018,948,kg/vehicle,Buses – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2019,1276,"1,000 t",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,431,kg/vehicle,Cars – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2019,834,kg/vehicle,Trucks*** – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2019,160,kg/vehicle,Vans – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2019,911,kg/vehicle,Buses – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2020,1035,"1,000 t",CO2 indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,426,kg/vehicle,Cars – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2020,954,kg/vehicle,Trucks*** – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2020,147,kg/vehicle,Vans – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_market_based,2020,1245,kg/vehicle,Buses – CO2 indirect (Scope 2) - market-based**
Daimler_2020_report,scope_2_location_based,2016,2141,"1,000 t",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2017,2041,"1,000 t",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2018,1985,"1,000 t",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2019,1706,"1,000 t",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2020,1492,"1,000 t",CO2 indirect (Scope 2) - location-based
Daimler_2020_report,scope_3,2020,8.1,tons per vehicle,Scope 3 Production
Daimler_2020_report,scope_3,2020,1.0,tons per vehicle,Scope 3 Logistics
Daimler_2020_report,scope_3,2020,5.6,tons per vehicle,Scope 3 Use phase: Well-to-tank
Daimler_2020_report,scope_3,2020,33.7,tons per vehicle,Scope 3 Use phase: Tank-to-wheel
Daimler_2020_report,scope_3,2020,0.4,tons per vehicle,Scope 3 End of Life
Fresenius SE_2019_report,scope_1,2019,227,tCO₂ equivalents in thousands,Scope 1
Fresenius SE_2019_report,scope_1,2018,219,tCO₂ equivalents in thousands,Scope 1
Fresenius SE_2019_report,scope_2_market_based,2019,547,tCO₂ equivalents in thousands,Scope 2
Fresenius SE_2019_report,scope_2_market_based,2018,557,tCO₂ equivalents in thousands,Scope 2
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2014,8297,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2015,9045,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2016,24672,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2017,26834,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2018,31737,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2019,38240,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2020,32097,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2014,37114,metric tons CO₂e,Scope 2 Market Based
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2015,50828,metric tons CO₂e,Scope 2 Market Based
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2016,213701,metric tons CO₂e,Scope 2 Market Based
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2017,219375,metric tons CO₂e,Scope 2 Market Based
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2018,219385,metric tons CO₂e,Scope 2 Market Based
