model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,413.0,7,59.0
Qwen/Qwen3-VL-32B-Thinking,16384,Daimler_2020_report,357.1,9,39.68
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,324.14,7,46.31
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,379.89,7,54.27
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,88.57,8,11.07
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,240.63,9,26.74
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,413.06,7,59.01
Qwen/Qwen3-VL-32B-Thinking,16384,allfunds group_2021_report,300.03,7,42.86
Qwen/Qwen3-VL-32B-Thinking,16384,americold realty inc_2022_report,250.39,9,27.82
Qwen/Qwen3-VL-32B-Thinking,16384,atlas arteria_2019_report,286.97,8,35.87
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,269.5,7,38.5
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,771.61,7,110.23
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,152.24,7,21.75
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,303.68,7,43.38
Qwen/Qwen3-VL-32B-Thinking,16384,cardinal energy ltd_2021_report,562.07,7,80.3
Qwen/Qwen3-VL-32B-Thinking,16384,comerica inc_2019_report,713.99,7,102.0
Qwen/Qwen3-VL-32B-Thinking,16384,cytokinetics inc_2022_report,333.58,9,37.06
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,584.9,7,83.56
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,225.68,9,25.08
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,141.7,7,20.24
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,399.48,9,44.39
Qwen/Qwen3-VL-32B-Thinking,16384,graincorp_2019_report,405.59,7,57.94
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,157.65,7,22.52
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,186.09,7,26.58
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,240.35,9,26.71
Qwen/Qwen3-VL-32B-Thinking,16384,hang lung properties_2018_report,290.0,9,32.22
Qwen/Qwen3-VL-32B-Thinking,16384,healius ltd_2022_report,190.98,8,23.87
Qwen/Qwen3-VL-32B-Thinking,16384,hudbay minerals inc_2020_report,200.18,9,22.24
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,227.46,7,32.49
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2019_report,157.14,9,17.46
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,363.33,9,40.37
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,370.58,5,74.12
Qwen/Qwen3-VL-32B-Thinking,16384,jetblue airways corp_2019_report,282.72,5,56.54
Qwen/Qwen3-VL-32B-Thinking,16384,jpmorgan chase_2020_report,569.55,7,81.36
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,528.77,7,75.54
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,365.89,9,40.65
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,751.36,9,83.48
Qwen/Qwen3-VL-32B-Thinking,16384,kureha corp_2020_report,247.23,6,41.2
Qwen/Qwen3-VL-32B-Thinking,16384,lundin gold inc_2021_report,255.25,5,51.05
Qwen/Qwen3-VL-32B-Thinking,16384,lundin gold inc_2022_report,320.09,7,45.73
Qwen/Qwen3-VL-32B-Thinking,16384,metro ag_2022_report,270.48,7,38.64
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,424.27,7,60.61
Qwen/Qwen3-VL-32B-Thinking,16384,nippn corp_2022_report,388.96,8,48.62
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,367.65,9,40.85
Qwen/Qwen3-VL-32B-Thinking,16384,polaris_2021_report,525.54,9,58.39
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,268.31,7,38.33
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,224.08,9,24.9
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,375.82,7,53.69
Qwen/Qwen3-VL-32B-Thinking,16384,sumitomo corporation_2021_report,649.85,9,72.21
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,366.85,9,40.76
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report.pdf,357.1,7,51.01
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,181.66,7,25.95
Qwen/Qwen3-VL-32B-Thinking,16384,webuild_2019_report,313.09,9,34.79
