report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2020,28714.0,t CO2e,Operational
Allianz_2022_report,scope_1,2021,28699.0,t CO2e,Operational
Allianz_2022_report,scope_1,2022,30953.0,t CO2e,Operational
Allianz_2022_report,scope_2_market_based,2020,100722.0,t CO2e,Operational
Allianz_2022_report,scope_2_market_based,2021,54689.0,t CO2e,Operational
Allianz_2022_report,scope_2_market_based,2022,30490.0,t CO2e,Operational
Allianz_2022_report,scope_2_location_based,2020,180826.0,t CO2e,Operational
Allianz_2022_report,scope_2_location_based,2021,149599.0,t CO2e,Operational
Allianz_2022_report,scope_2_location_based,2022,138339.0,t CO2e,Operational
Allianz_2022_report,scope_3,2020,73916.0,t CO2e,Operational
Allianz_2022_report,scope_3,2021,55359.0,t CO2e,Operational
Allianz_2022_report,scope_3,2021,29.0,mn t CO2e,Portfolio
Allianz_2022_report,scope_3,2022,92467.0,t CO2e,Operational
Allianz_2022_report,scope_3,2022,46.3,mn t CO2e,Portfolio
Daimler_2020_report,scope_1,2016,1056.0,"1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,1192.0,"1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,1247.0,"1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,1239.0,"1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,1027.0,"1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_2_market_based,2016,1882.0,"1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,1763.0,"1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,1687.0,"1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,1276.0,"1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,1035.0,"1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_location_based,2016,2141.0,"1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2017,2041.0,"1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2018,1985.0,"1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2019,1706.0,"1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2020,1492.0,"1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_3,2020,8.1,tons per vehicle,Scope 3 Production: Procured goods and services
Daimler_2020_report,scope_3,2020,0.8,tons per vehicle,Scope 1 and 2: Mercedes-Benz Cars production
Daimler_2020_report,scope_3,2020,1.0,tons per vehicle,Scope 3 Logistics: Transport and distribution (upstream and downstream)
Daimler_2020_report,scope_3,2020,5.6,tons per vehicle,Scope 3 Use phase: Fuel and electricity production (well-to-tank)
Daimler_2020_report,scope_3,2020,33.7,tons per vehicle,Scope 3 Use phase: Vehicle operation (tank-to-wheel)
Daimler_2020_report,scope_3,2020,0.4,tons per vehicle,Scope 3 End of Life: Recycling and waste disposal
Fresenius SE_2019_report,scope_1,2019,517.0,tCO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_1,2018,521.0,tCO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_2_market_based,2019,992.0,tCO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_2_market_based,2018,1013.0,tCO₂ equivalents in thousands,Total
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2014,8297.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2015,9045.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2016,24672.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2017,26834.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2018,31737.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2019,38240.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2020,32097.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2014,37114.0,metric tons CO₂e,Scope 2 (market-based)
