report_name,scope,year,value,unit,label
Allianz_2022_report,scope_1,2022,30953.0,t CO₂e,Direct GHG emissions
Allianz_2022_report,scope_1,2021,28699.0,t CO₂e,Direct GHG emissions
Allianz_2022_report,scope_1,2020,28714.0,t CO₂e,Direct GHG emissions
Allianz_2022_report,scope_2_market_based,2022,30490.0,t CO₂e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2021,54689.0,t CO₂e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_market_based,2020,100722.0,t CO₂e,Indirect GHG emissions (market based)
Allianz_2022_report,scope_2_location_based,2022,138339.0,t CO₂e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2021,149599.0,t CO₂e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_2_location_based,2020,180826.0,t CO₂e,Indirect GHG emissions (location based)
Allianz_2022_report,scope_3,2022,92467.0,t CO₂e,Other indirect GHG emissions
Allianz_2022_report,scope_3,2021,55359.0,t CO₂e,Other indirect GHG emissions
Allianz_2022_report,scope_3,2020,73916.0,t CO₂e,Other indirect GHG emissions
Daimler_2020_report,scope_1,2016,1056.0,"in 1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2016,245.0,kg/vehicle,Cars - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2016,746.0,kg/vehicle,Trucks - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2016,372.0,kg/vehicle,Vans - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2016,1408.0,kg/vehicle,Buses - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,1192.0,"in 1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,250.0,kg/vehicle,Cars - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,663.0,kg/vehicle,Trucks - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,340.0,kg/vehicle,Vans - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2017,1177.0,kg/vehicle,Buses - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,1247.0,"in 1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,267.0,kg/vehicle,Cars - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,629.0,kg/vehicle,Trucks - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,355.0,kg/vehicle,Vans - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2018,977.0,kg/vehicle,Buses - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,1239.0,"in 1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,279.0,kg/vehicle,Cars - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,676.0,kg/vehicle,Trucks - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,346.0,kg/vehicle,Vans - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2019,1083.0,kg/vehicle,Buses - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,1027.0,"in 1,000 t",CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,326.0,kg/vehicle,Cars - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,742.0,kg/vehicle,Trucks - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,333.0,kg/vehicle,Vans - CO₂ direct (Scope 1)
Daimler_2020_report,scope_1,2020,1471.0,kg/vehicle,Buses - CO₂ direct (Scope 1)
Daimler_2020_report,scope_2_market_based,2016,1882.0,"in 1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2016,611.0,kg/vehicle,Cars - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2016,1286.0,kg/vehicle,Trucks - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2016,201.0,kg/vehicle,Vans - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2016,1421.0,kg/vehicle,Buses - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,1763.0,"in 1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,565.0,kg/vehicle,Cars - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,1084.0,kg/vehicle,Trucks - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,157.0,kg/vehicle,Vans - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2017,1059.0,kg/vehicle,Buses - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,1687.0,"in 1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,562.0,kg/vehicle,Cars - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,933.0,kg/vehicle,Trucks - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,196.0,kg/vehicle,Vans - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2018,948.0,kg/vehicle,Buses - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,1276.0,"in 1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,431.0,kg/vehicle,Cars - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,834.0,kg/vehicle,Trucks - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,160.0,kg/vehicle,Vans - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2019,911.0,kg/vehicle,Buses - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,1035.0,"in 1,000 t",CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,426.0,kg/vehicle,Cars - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,954.0,kg/vehicle,Trucks - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,147.0,kg/vehicle,Vans - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_market_based,2020,1245.0,kg/vehicle,Buses - CO₂ indirect (Scope 2) - market-based
Daimler_2020_report,scope_2_location_based,2016,2141.0,"in 1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2017,2041.0,"in 1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2018,1985.0,"in 1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2019,1706.0,"in 1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_2_location_based,2020,1492.0,"in 1,000 t",CO₂ indirect (Scope 2) - location-based
Daimler_2020_report,scope_3,2020,49.7,tons per vehicle,Average CO₂ value for Mercedes-Benz car fleet worldwide
Daimler_2020_report,scope_3,2020,8.1,tons per vehicle,Scope 3 Production: Procured goods and services
Daimler_2020_report,scope_3,2020,1.0,tons per vehicle,Scope 3 Logistics: Transport and distribution
Daimler_2020_report,scope_3,2020,5.6,tons per vehicle,Scope 3 Use phase: Fuel and electricity production (well-to-tank)
Daimler_2020_report,scope_3,2020,33.7,tons per vehicle,Scope 3 Use phase: Vehicle operation (tank-to-wheel)
Daimler_2020_report,scope_3,2020,0.4,tons per vehicle,Scope 3 End of Life: Recycling and waste disposal
Fresenius SE_2019_report,scope_1,2019,517.0,t CO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_1,2019,227.0,t CO₂ equivalents in thousands,Fresenius Medical Care
Fresenius SE_2019_report,scope_1,2019,165.0,t CO₂ equivalents in thousands,Fresenius Kabi
Fresenius SE_2019_report,scope_1,2019,107.0,t CO₂ equivalents in thousands,Fresenius Helios
Fresenius SE_2019_report,scope_1,2019,18.0,t CO₂ equivalents in thousands,Fresenius Vamed
Fresenius SE_2019_report,scope_1,2018,521.0,t CO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_1,2018,219.0,t CO₂ equivalents in thousands,Fresenius Medical Care
Fresenius SE_2019_report,scope_1,2018,169.0,t CO₂ equivalents in thousands,Fresenius Kabi
Fresenius SE_2019_report,scope_1,2018,114.0,t CO₂ equivalents in thousands,Fresenius Helios
Fresenius SE_2019_report,scope_1,2018,19.0,t CO₂ equivalents in thousands,Fresenius Vamed
Fresenius SE_2019_report,scope_2_market_based,2019,992.0,t CO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_2_market_based,2019,547.0,t CO₂ equivalents in thousands,Fresenius Medical Care
Fresenius SE_2019_report,scope_2_market_based,2019,249.0,t CO₂ equivalents in thousands,Fresenius Kabi
Fresenius SE_2019_report,scope_2_market_based,2019,178.0,t CO₂ equivalents in thousands,Fresenius Helios
Fresenius SE_2019_report,scope_2_market_based,2019,18.0,t CO₂ equivalents in thousands,Fresenius Vamed
Fresenius SE_2019_report,scope_2_market_based,2018,1013.0,t CO₂ equivalents in thousands,Total
Fresenius SE_2019_report,scope_2_market_based,2018,557.0,t CO₂ equivalents in thousands,Fresenius Medical Care
Fresenius SE_2019_report,scope_2_market_based,2018,255.0,t CO₂ equivalents in thousands,Fresenius Kabi
Fresenius SE_2019_report,scope_2_market_based,2018,182.0,t CO₂ equivalents in thousands,Fresenius Helios
Fresenius SE_2019_report,scope_2_market_based,2018,19.0,t CO₂ equivalents in thousands,Fresenius Vamed
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2014,8297.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2015,9045.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2016,24672.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2017,26834.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2018,31737.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2019,38240.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_1,2020,32097.0,metric tons CO₂e,Scope 1
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2014,37114.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2015,50828.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2016,213701.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2017,219375.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2018,219385.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2019,123106.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_market_based,2020,134333.0,metric tons CO₂e,Scope 2 (market-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2014,39252.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2015,50828.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2016,216737.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2017,219851.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2018,229073.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2019,144268.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_2_location_based,2020,139608.0,metric tons CO₂e,Scope 2 (location-based)
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2014,28499.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2015,33242.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2016,47190.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2017,39356.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2018,37891.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2019,819682.0,metric tons CO₂e,Scope 3
ViacomCBS_ESG Report_2020-2021_vFINAL,scope_3,2020,6897654.0,metric tons CO₂e,Scope 3 (market-based)
acuity brands inc_2022_report,scope_1,2022,34327.0,MT CO2e,Total Scope 1
acuity brands inc_2022_report,scope_2_market_based,2022,42234.0,MT CO2e,Total Scope 2
acuity brands inc_2022_report,scope_2_location_based,2022,46637.0,MtCO2e,FY 2022 Scope 2 Emissions (Location based)
acuity brands inc_2022_report,scope_3,2022,35119419.0,MT CO2e,Total Scope 3
addtech_2022_report,scope_1,2021/2022,2041.0,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_1,2021/2022,1500.0,tonnes CO2e,Emissions from own vehicle fleet (tonnes CO2e)
addtech_2022_report,scope_1,2021/2022,541.0,tonnes CO2e,Emissions combustion fuels (tonnes CO2e)
addtech_2022_report,scope_1,2020/2021,1910.0,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_1,2020/2021,1356.0,tonnes CO2e,Emissions from own vehicle fleet (tonnes CO2e)
addtech_2022_report,scope_1,2020/2021,554.0,tonnes CO2e,Emissions combustion fuels (tonnes CO2e)
addtech_2022_report,scope_1,2019/2020,2071.0,tonnes CO2e,SCOPE 1 (tonnes CO2e)
addtech_2022_report,scope_1,2019/2020,2071.0,tonnes CO2e,Emissions from own vehicle fleet (tonnes CO2e)
addtech_2022_report,scope_2_market_based,2021/2022,4087.0,tonnes CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_market_based,2020/2021,4250.0,tonnes CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2021/2022,3709.0,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2020/2021,3395.0,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_2_location_based,2019/2020,3979.0,tonnes CO2e,"Emissions, energy consumption – Location Based Method (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,22961.0,tonnes CO2e,SCOPE 3 (tonnes CO2e)
addtech_2022_report,scope_3,2021/2022,21782.0,tonnes CO2e,"Emissions freight, upstream & downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,10581.0,tonnes CO2e,"Emissions freight, upstream (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,7781.0,tonnes CO2e,"Emissions freight, downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,1097.0,tonnes CO2e,"Business travel emissions, air and train (tonnes CO2e)"
addtech_2022_report,scope_3,2021/2022,82.0,tonnes CO2e,"Emissions, extraction, production and transport of purchased fuels (tonnes CO2e)"
addtech_2022_report,scope_3,2020/2021,19860.0,tonnes CO2e,SCOPE 3 (tonnes CO2e)
addtech_2022_report,scope_3,2020/2021,18733.0,tonnes CO2e,"Emissions freight, upstream & downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2020/2021,10581.0,tonnes CO2e,"Emissions freight, upstream (tonnes CO2e)"
addtech_2022_report,scope_3,2020/2021,7781.0,tonnes CO2e,"Emissions freight, downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2020/2021,1021.0,tonnes CO2e,"Business travel emissions, air and train (tonnes CO2e)"
addtech_2022_report,scope_3,2020/2021,106.0,tonnes CO2e,"Emissions, extraction, production and transport of purchased fuels (tonnes CO2e)"
addtech_2022_report,scope_3,2019/2020,23132.0,tonnes CO2e,SCOPE 3 (tonnes CO2e)
addtech_2022_report,scope_3,2019/2020,18362.0,tonnes CO2e,"Emissions freight, upstream & downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2019/2020,10581.0,tonnes CO2e,"Emissions freight, upstream (tonnes CO2e)"
addtech_2022_report,scope_3,2019/2020,7781.0,tonnes CO2e,"Emissions freight, downstream (tonnes CO2e)"
addtech_2022_report,scope_3,2019/2020,4770.0,tonnes CO2e,"Business travel emissions, air and train (tonnes CO2e)"
aixtron_2020_report,scope_1,2017,5056.7,tonnes,Herzogenrath site - Electricity (kWh) CO₂e
aixtron_2020_report,scope_1,2017,125.0,tonnes,Herzogenrath site - Natural gas (kWh) CO₂e
aixtron_2020_report,scope_1,2017,218.6,tonnes,Herzogenrath site - District heating (kWh) CO₂e
aixtron_2020_report,scope_1,2018,0.0,tonnes,Herzogenrath site - Electricity (kWh) CO₂e
aixtron_2020_report,scope_1,2018,151.0,tonnes,Herzogenrath site - Natural gas (kWh) CO₂e
aixtron_2020_report,scope_1,2018,289.0,tonnes,Herzogenrath site - District heating (kWh) CO₂e
aixtron_2020_report,scope_1,2019,0.0,tonnes,Herzogenrath site - Electricity (kWh) CO₂e
aixtron_2020_report,scope_1,2019,122.88,tonnes,Herzogenrath site - Natural gas (kWh) CO₂e
aixtron_2020_report,scope_1,2019,234.86,tonnes,Herzogenrath site - District heating (kWh) CO₂e
aixtron_2020_report,scope_1,2019,17.6,tonnes,Herzogenrath site - Sulphur hexafluoride (SF6) in kg CO₂e
aixtron_2020_report,scope_1,2020,322.84,tonnes,Consolidated - Scope 1 emissions
aixtron_2020_report,scope_2_market_based,2017,5408.0,tonnes,Herzogenrath site - Total (kWh)/CO₂e in tonnes
aixtron_2020_report,scope_2_market_based,2017,139.4,tonnes,"UK, Asia, USA - Total CO₂e in tonnes"
aixtron_2020_report,scope_2_market_based,2018,445.0,tonnes,Herzogenrath site - Total (kWh)/CO₂e in tonnes
aixtron_2020_report,scope_2_market_based,2018,171.74,tonnes,"UK, Asia, USA - Total CO₂e in tonnes"
aixtron_2020_report,scope_2_market_based,2019,381.0,tonnes,Herzogenrath site - Total (kWh)/CO₂e in tonnes
aixtron_2020_report,scope_2_market_based,2019,129.91,tonnes,"UK, Asia, USA - Total CO₂e in tonnes"
aixtron_2020_report,scope_2_market_based,2020,557.0,tonnes,Herzogenrath site - Total (kWh)/CO₂e in tonnes
aixtron_2020_report,scope_2_market_based,2020,398.14,tonnes,Consolidated - Scope 2 emissions
aixtron_2020_report,scope_3,2020,1310.1,tonnes,Consolidated - Scope 3 emissions
allfunds group_2021_report,scope_1,2020,0.0,t CO2eq,Total for all sites
allfunds group_2021_report,scope_1,2021,7.31,t CO2eq,Total for all sites
allfunds group_2021_report,scope_2_market_based,2020,91.69,t CO2eq,Total for all sites
allfunds group_2021_report,scope_2_market_based,2021,30.39,t CO2eq,Total for all sites
allfunds group_2021_report,scope_2_location_based,2020,91.69,t CO2eq,Total for all sites
allfunds group_2021_report,scope_2_location_based,2021,30.39,t CO2eq,Total for all sites
allfunds group_2021_report,scope_3,2020,393.82,t CO2eq,Total for Spain
americold realty inc_2022_report,scope_1,2021,72134.0,MTCO2e,Total Company
americold realty inc_2022_report,scope_1,2022,102340.0,MTCO2e,Total Company
