"report","pages","duration_first","duration_second","second_faster","second_faster_s","abs_differnece"
"acuity brands inc_2022_report",8,17.55,17.8,FALSE,0.25,0.25
"addtech_2022_report",9,49.9,95.74,FALSE,45.84,45.84
"aixtron_2020_report",7,32.5,61.43,FALSE,28.93,28.93
"allfunds group_2021_report",7,17.71,24.21,FALSE,6.5,6.5
"Allianz_2022_report",7,38.25,39.11,FALSE,0.859999999999999,0.859999999999999
"americold realty inc_2022_report",9,34.25,35.62,FALSE,1.37,1.37
"atlas arteria_2019_report",8,30.54,31.06,FALSE,0.52,0.52
"autoneum holding_2019_report",7,30.85,29.76,TRUE,-1.09,1.09
"bekaert (d) sa_2022_report",7,48.82,49.73,FALSE,0.909999999999997,0.909999999999997
"blackline safety_2021_report",7,21.98,23.42,FALSE,1.44,1.44
"cabot corp_2018_report",7,21.99,22.33,FALSE,0.34,0.34
"cardinal energy ltd_2021_report",7,33.19,36.41,FALSE,3.22,3.22
"comerica inc_2019_report",7,70.92,72.55,FALSE,1.63,1.63
"cytokinetics inc_2022_report",9,13.22,13.32,FALSE,0.0999999999999996,0.0999999999999996
"Daimler_2020_report",9,52.19,131.77,FALSE,79.58,79.58
"dampskibsselskabet norden_2019_report",7,32.81,33.42,FALSE,0.609999999999999,0.609999999999999
"evolution mining ltd_2020_report",9,33.39,34.1,FALSE,0.710000000000001,0.710000000000001
"Fresenius SE_2019_report",7,57.91,48.14,TRUE,-9.77,9.77
"fujifilm_2022_report",7,105.04,107.09,FALSE,2.05,2.05
"georg fischer ag_2018_report",9,47.97,45.42,TRUE,-2.55,2.55
"graincorp_2019_report",7,28.32,32.44,FALSE,4.12,4.12
"granite construction inc_2020_report",7,20.66,20.2,TRUE,-0.460000000000001,0.460000000000001
"h. lundbeck_2021_report",7,52.22,52.99,FALSE,0.770000000000003,0.770000000000003
"hammerson reit_2021_report",9,28.4,29.64,FALSE,1.24,1.24
"hang lung properties_2018_report",9,30.2,35.38,FALSE,5.18,5.18
"healius ltd_2022_report",8,16.72,17.38,FALSE,0.66,0.66
"hudbay minerals inc_2020_report",9,30.18,30.35,FALSE,0.170000000000002,0.170000000000002
"huhtamaki_2018_report",7,36.19,36.67,FALSE,0.480000000000004,0.480000000000004
"huhtamaki_2019_report",9,34.5,35.19,FALSE,0.689999999999998,0.689999999999998
"inchcape plc_2022_report",9,33.67,34.29,FALSE,0.619999999999997,0.619999999999997
"innospec inc_2020_report",5,17.58,35.89,FALSE,18.31,18.31
"jetblue airways corp_2019_report",5,49.84,51.59,FALSE,1.75,1.75
"jpmorgan chase_2020_report",7,50.31,50.56,FALSE,0.25,0.25
"kfw_2018_report",7,41.42,83.64,FALSE,42.22,42.22
"kilroy realty_2017_report",9,35.52,37.63,FALSE,2.11,2.11
"kilroy realty_2018_report",9,61.18,63.48,FALSE,2.3,2.3
"kureha corp_2020_report",6,36.24,36.79,FALSE,0.549999999999997,0.549999999999997
"lundin gold inc_2021_report",5,24.81,25.31,FALSE,0.5,0.5
"lundin gold inc_2022_report",7,35.75,37.39,FALSE,1.64,1.64
"metro ag_2022_report",7,45.32,38.37,TRUE,-6.95,6.95
"morinaga ltd_2020_report",7,88.08,88.44,FALSE,0.359999999999999,0.359999999999999
"nippn corp_2022_report",8,42.88,66.4,FALSE,23.52,23.52
"nordea_2017_report",9,22.67,23.05,FALSE,0.379999999999999,0.379999999999999
"polaris_2021_report",9,44.36,67.36,FALSE,23,23
"salzgitter ag_2018_report",7,23.76,24.18,FALSE,0.419999999999998,0.419999999999998
"sato oyj_2022_report",9,98.26,109.49,FALSE,11.23,11.23
"stantec inc_2019_report",7,37.39,34.17,TRUE,-3.22,3.22
"sumitomo corporation_2021_report",9,81.11,89.59,FALSE,8.48,8.48
"toshiba tec corp_2022_report",9,24.69,28.51,FALSE,3.82,3.82
"uniper_2019_report.pdf",7,30.89,31.99,FALSE,1.1,1.1
"varta ag_2021_report",7,24.75,30.61,FALSE,5.86,5.86
"ViacomCBS_ESG Report_2020-2021_vFINAL",7,76.47,77.44,FALSE,0.969999999999999,0.969999999999999
"webuild_2019_report",9,31.65,32.13,FALSE,0.480000000000004,0.480000000000004
