report_name,status,scopes_present,years_present,year,scope,page,value,unit,unit_normalized,label,value_t1,value_t2,value_m1,value_m2,value_i1,value_i2,unit_t1,unit_t2,unit_m1,unit_m2,unit_i1,unit_i2,label_t1,label_t2,label_m1,label_m2,label_i1,label_i2
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,1,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,1,101,34327.0,MtCO2e,Mt CO2e,FY 2022 Scope 1 Emissions,[34327.0],[34327.0],[34327.0],[34327.0],[34327.0],[34327.0],['MtCO2e'],['MT CO2e'],['MT CO2e'],['MT CO₂e'],['MT CO2e'],['MT CO2e'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1']
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,1,99,34327.0,MT CO2e,MT CO2e,Total Scope 1,[34327.0],[34327.0],[34327.0],[34327.0],[34327.0],[34327.0],['MtCO2e'],['MT CO2e'],['MT CO2e'],['MT CO₂e'],['MT CO2e'],['MT CO2e'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1'],['Total Scope 1']
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,2lb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2lb,101,46637.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Location based),[46637.0],[46637.0],[46637.0],[46637.0],[46637.0],[46637.0],['MtCO2e'],['MtCO2e'],['MT CO2e'],['MT CO₂e'],['MtCO2e'],['MtCO2e'],['Total Scope 2 (Location-based)'],['FY 2022 Scope 2 Emissions (Location based)'],['Total Scope 2 (Location based)'],['FY 2022 Scope 2 Emissions (Location based)'],['FY 2022 Scope 2 Emissions (Location based)'],['FY 2022 Scope 2 Emissions (Location based)']
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,2mb,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2mb,101,42234.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Market based),[42234.0],[42234.0],[42234.0],[42234.0],[42234.0],[42234.0],['MtCO2e'],['MT CO2e'],['MT CO2e'],['MT CO₂e'],['MT CO2e'],['MT CO2e'],['Total Scope 2 (Market-based)'],['Total Scope 2'],['Total Scope 2 (Market based)'],['Total Scope 2'],['Total Scope 2'],['Total Scope 2']
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,2mb,99,42234.0,MT CO2e,MT CO2e,Total Scope 2 market-based/Total Scope 2,[42234.0],[42234.0],[42234.0],[42234.0],[42234.0],[42234.0],['MtCO2e'],['MT CO2e'],['MT CO2e'],['MT CO₂e'],['MT CO2e'],['MT CO2e'],['Total Scope 2 (Market-based)'],['Total Scope 2'],['Total Scope 2 (Market based)'],['Total Scope 2'],['Total Scope 2'],['Total Scope 2']
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2013,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2014,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2015,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2016,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2017,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2018,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2019,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2020,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2021,3,,,,,,,,,,,,,,,,,,,,,,,
acuity brands inc_2022_report,complete,"['1', '2lb', '2mb', '3']",['2022'],2022,3,99,35119419.0,MT CO2e,MT CO2e,Total Scope 3,[35119419.0],[35119419.0],[35119419.0],[35119419.0],[35119419.0],[35119419.0],['MtCO2e'],['MT CO2e'],['MT CO2e'],['MT CO₂e'],['MT CO2e'],['MT CO2e'],['Total Scope 3'],['Total Scope 3'],['Total Scope 3'],['Total Scope 3'],['Total Scope 3'],['Total Scope 3']
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,1,73,2071.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,1,73,1910.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,1,73,2041.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,1,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,2lb,,,,,,,,,,,,,,,,,,,,,,,
