report_name,year,scope,gs_value,raw_extracted,ynorm_extracted,raw_was_list,ynorm_was_list
addtech_2022_report,2022,1,,,[2041.0],False,True
addtech_2022_report,2022,2lb,,,[3709.0],False,True
addtech_2022_report,2022,2mb,,,[4087.0],False,True
addtech_2022_report,2022,3,,,[22961.0],False,True
evolution mining ltd_2020_report,2016,2mb,,,[472257.0],False,True
evolution mining ltd_2020_report,2017,2mb,,,[430993.0],False,True
evolution mining ltd_2020_report,2018,2mb,,,[394144.0],False,True
evolution mining ltd_2020_report,2019,2mb,,,[383449.0],False,True
evolution mining ltd_2020_report,2020,2mb,,,[398187.0],False,True
graincorp_2019_report,2016,2mb,,,[165563.0],False,True
graincorp_2019_report,2017,2mb,,,[167666.0],False,True
graincorp_2019_report,2018,2mb,,,[151718.0],False,True
graincorp_2019_report,2019,2mb,,,[145806.0],False,True
morinaga ltd_2020_report,2020,3,,,"[248003.0, 122971.0, 3774.0, 15809.0, 4176.0, 618.0, 1607.0, 557.0]",False,True
