file,missing_scope
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/comerica inc_2019_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/dampskibsselskabet norden_2019_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/graincorp_2019_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/graincorp_2019_report.json,scope_3
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/hammerson reit_2021_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/kilroy realty_2017_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/kilroy realty_2017_report.json,scope_3
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/nok corporation_2021_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/varta ag_2021_report.json,scope_2_location_based
/Users/jannikkuhlmann/VSC/LaTeX/2026_BA_Code/evaluations/PipelineB/PipelineB-Answers/1st_Qwen3-VL-30B-A3B-Thinking/varta ag_2021_report.json,scope_3
