report_name,year,scope,page,value,unit,unit_normalized,label,status,scopes_present
acuity brands inc_2022_report,2013,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2014,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2015,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2016,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2017,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2018,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2019,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2020,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2021,1,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,1,101,34327.0,MtCO2e,Mt CO2e,FY 2022 Scope 1 Emissions,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,1,99,34327.0,MT CO2e,MT CO2e,Total Scope 1,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2013,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2014,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2015,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2016,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2017,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2018,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2019,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2020,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2021,2lb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,2lb,101,46637.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Location based),complete,1+2lb+2mb+3
acuity brands inc_2022_report,2013,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2014,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2015,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2016,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2017,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2018,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2019,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2020,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2021,2mb,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,2mb,101,42234.0,MtCO2e,Mt CO2e,FY 2022 Scope 2 Emissions (Market based),complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,2mb,99,42234.0,MT CO2e,MT CO2e,Total Scope 2 market-based/Total Scope 2,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2013,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2014,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2015,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2016,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2017,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2018,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2019,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2020,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2021,3,,,,,,complete,1+2lb+2mb+3
acuity brands inc_2022_report,2022,3,99,35119419.0,MT CO2e,MT CO2e,Total Scope 3,complete,1+2lb+2mb+3
addtech_2022_report,2013,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2014,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2015,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2016,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2017,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2018,1,,,,,,complete,1+2lb+2mb+3
