report_name,url,error
Daimler_2020_report.pdf,https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2020.pdf,403 Client Error: Forbidden for url: https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2020.pdf
apollo commercial real estate fina_2019_report.pdf,,Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
asos plc_2017_report.pdf,https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/9916/3232/1399/27-10-2017-ar.pdf,403 Client Error: Forbidden for url: https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/9916/3232/1399/27-10-2017-ar.pdf
balanced commercial property trust_2020_report.pdf,https://www.bmogam.com/uploads/2021/07/24993eda0dcdf930a295db357730500f/bmo-commercial-property-trust-esg-report-2020.pdf,"HTTPSConnectionPool(host='www.bmogam.com', port=443): Read timed out. (read timeout=15)"
belimo_2018_report.pdf,https://www.belimo.com/mam/corporate-communications/investor-relations/financial-reports/2018/Sustainability_Report_2018.pdf,403 Client Error: Forbidden for url: https://www.belimo.com/mam/corporate-communications/investor-relations/financial-reports/2018/Sustainability_Report_2018.pdf
hugo boss_2019_report.pdf,https://annualreport-2019.hugoboss.com/servicepages/downloads/files/entire_hb_ar19.pdf,"HTTPSConnectionPool(host='annualreport-2019.hugoboss.com', port=443): Max retries exceeded with url: /servicepages/downloads/files/entire_hb_ar19.pdf (Caused by NameResolutionError(""HTTPSConnection(host='annualreport-2019.hugoboss.com', port=443): Failed to resolve 'annualreport-2019.hugoboss.com' ([Errno 8] nodename nor servname provided, or not known)""))"
centurylink_2019_report.pdf,https://s24.q4cdn.com/287068338/files/doc_downloads/2020/04/CenturyLink-2019-ESG-Report.pdf,404 Client Error: Not Found for url: https://s24.q4cdn.com/287068338/files/doc_downloads/2020/04/CenturyLink-2019-ESG-Report.pdf
ctbc holding_2020_report.pdf,https://www.ctbcholding.com/content/dam/twhoo/file/csr/en/report/2020CSR.pdf,"HTTPSConnectionPool(host='www.ctbcholding.com', port=443): Max retries exceeded with url: /content/dam/twhoo/file/csr/en/report/2020CSR.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1081)')))"
cubesmart reit_2021_report.pdf,https://s201.q4cdn.com/604002580/files/doc_downloads/esg/2021-CubeSmart-Sustainability-Report-Final.pdf,403 Client Error: Forbidden for url: https://s201.q4cdn.com/604002580/files/doc_downloads/esg/2021-CubeSmart-Sustainability-Report-Final.pdf
dksh holding_2021_report.pdf,https://www.dksh.com/media/148/216/Sustainability_Report_2021.pdf,404 Client Error: Not Found for url: https://www.dksh.com/de-en/media/148/216/Sustainability_Report_2021.pdf
fabege_2022_report.pdf,https://www.fabege.se/siteassets/investerare/arsredovisning/2022/fabege_annual_report_2022_index_v2.pdf,404 Client Error: Not Found for url: https://www.fabege.se/siteassets/investerare/arsredovisning/2022/fabege_annual_report_2022_index_v2.pdf
weleda_2018_report.pdf,https://weledaint-prod.global.ssl.fastly.net/binaries/content/assets/pdf/aus/weleda_annual--sustainability-reportgb_2018_uk_ds.pdf,500 Server Error: Domain Not Found for url: https://weledaint-prod.global.ssl.fastly.net/binaries/content/assets/pdf/aus/weleda_annual--sustainability-reportgb_2018_uk_ds.pdf
federated hermes inc_2021_report.pdf,https://www.hermesgpeinfrastructure.com/wp-content/uploads/2022/04/Sustainability-and-Stewardship-Report-2021-Public.pdf,"HTTPSConnectionPool(host='www.hermesgpeinfrastructure.com', port=443): Max retries exceeded with url: /wp-content/uploads/2022/04/Sustainability-and-Stewardship-Report-2021-Public.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1081)')))"
freni brembo_2018_report.pdf,https://www.brembo.com/en/Reports/2018/DNF-Sustainability-Report 2018.pdf,404 Client Error: Not Found for url: https://www.brembo.com/en/reports/2018/dnf-sustainability-report%202018.pdf
gwa group_2021_report.pdf,https://corporate-prod-au.s3.ap-southeast-2.amazonaws.com/GWA Group Sustainability Report 2021 ASX version.pdf,404 Client Error: Not Found for url: https://corporate-prod-au.s3.ap-southeast-2.amazonaws.com/GWA%20Group%20Sustainability%20Report%202021%20ASX%20version.pdf
kanto denka kogyo ltd_2020_report.pdf,https://www.kantodenka.co.jp/english/sustainability/pdf/rc_report_2020e.pdf,404 Client Error: Not Found for url: https://www.kantodenka.co.jp/english/sustainability/pdf/rc_report_2020e.pdf
kb home_2019_report.pdf,https://s201.q4cdn.com/124745054/files/doc_downloads/sustainability_reports/v2/2019-KB-Sustainability-Report_V19-Single.pdf,403 Client Error: Forbidden for url: https://s201.q4cdn.com/124745054/files/doc_downloads/sustainability_reports/v2/2019-KB-Sustainability-Report_V19-Single.pdf
krones ag_2017_report.pdf,https://www.krones.cn/media/downloads/GB_2017_Konzern_e.pdf,403 Client Error: Forbidden for url: https://www.krones.cn/media/downloads/GB_2017_Konzern_e.pdf
krones ag_2018_report.pdf,https://www.krones.com/media/downloads/GB_2018_Konzern_e.pdf,403 Client Error: Forbidden for url: https://www.krones.com/media/downloads/GB_2018_Konzern_e.pdf
loomis_2018_report.pdf,https://www.loomis-international.com/images/loomis/pdf/Annual_Report_and_Sustainability_Report_2018.pdf,404 Client Error: Not Found for url: https://www.loomis-international.com/images/loomis/pdf/Annual_Report_and_Sustainability_Report_2018.pdf
munters group_2021_report.pdf,https://www.munters.com/globalassets/ir/financial-reports/2021/annual-and-sustainability-report/munters_annual--sustainability-report_2021.pdf,404 Client Error: Not Found for url: https://www.munters.com/globalassets/ir/financial-reports/2021/annual-and-sustainability-report/munters_annual--sustainability-report_2021.pdf
viacomcbs_2020_report.pdf,https://www.paramount.com/sites/g/files/dxjhpe226/files/2021-11/ViacomCBS_ESG Report_2020-2021_vFINAL.pdf,403 Client Error: Forbidden for url: https://www.paramount.com/sites/g/files/dxjhpe226/files/2021-11/ViacomCBS_ESG%20Report_2020-2021_vFINAL.pdf
perenti ltd_2022_report.pdf,https://www.perenti.com/wp-content/uploads/2022/10/Perenti-2022-Annual-Report.pdf,404 Client Error: Not Found for url: https://www.perenti.com/wp-content/uploads/2022/10/Perenti-2022-Annual-Report.pdf
amicus therapeutics_2022_report.pdf,https://amicusrx.com/wp-content/uploads/2022/04/2022-Amicus-Therapeutics-ESG-Report-1.pdf,404 Client Error: Not Found for url: https://amicusrx.com/wp-content/uploads/2022/04/2022-Amicus-Therapeutics-ESG-Report-1.pdf
rexford industrial realty reit_2022_report.pdf,https://rexford-industrial.s3.amazonaws.com/jenkins/rexford-com/master/uploads/esg/Rexford_Industrial_2022_ESG_Report.pdf,403 Client Error: Forbidden for url: https://rexford-industrial.s3.amazonaws.com/jenkins/rexford-com/master/uploads/esg/Rexford_Industrial_2022_ESG_Report.pdf
subsea sa_2018_report.pdf,https://www.subsea7.com/content/dam/subsea7-corporate2018/Results_Reports_Presentations/Report/2019/annual-report-page-assets/annual-report-2018.pdf.downloadasset.pdf,403 Client Error: Forbidden for url: https://www.subsea7.com/content/dam/subsea7-corporate2018/Results_Reports_Presentations/Report/2019/annual-report-page-assets/annual-report-2018.pdf.downloadasset.pdf
tokyu construction_2018_report.pdf,https://www.tokyu-cnst.co.jp/en/ir/report/pdf/IR2018_EN_web.pdf,"HTTPSConnectionPool(host='www.tokyu-cnst.co.jp', port=443): Max retries exceeded with url: /en/ir/report/pdf/IR2018_EN_web.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)')))"
uniper_2019_report.pdf,https://www.uniper.energy/sites/default/files/2022-03/uniper_sustainability_report_2019_en.pdf,403 Client Error: Forbidden for url: https://www.uniper.energy/sites/default/files/2022-03/uniper_sustainability_report_2019_en.pdf
western union_2019_report.pdf,https://corporate.westernunion.com/wp-content/uploads/2021/06/2019-Western-Union-ESG-Report.pdf,503 Server Error: Service Unavailable for url: https://corporate.westernunion.com/wp-content/uploads/2021/06/2019-Western-Union-ESG-Report.pdf
